id,videoId,author,text,date,likeCount
UgwP6OXSBGQ7uZ9tL-t4AaABAg,lnErNM7rjqg,@ritwiksondhi,"I prefer YouTube music over anything.  The streaming quality is decent and the recommendations are spot on, thanks to years of Google stealing my data.",2025-08-05T11:22:25Z,9820
UgzkuSNpmMoJxTGBLyh4AaABAg,lnErNM7rjqg,@wizrg8001,If giving half knowledge was a job,2025-08-08T16:43:00Z,6437
UgzPjJPgOJ4p3LJgFj54AaABAg,lnErNM7rjqg,@DebarghaPal-zj9um,"If ""help is done without helping"" had a face",2025-11-07T15:40:02Z,1602
Ugzv7BMuG3ahS0D8sqp4AaABAg,lnErNM7rjqg,@P_deka,Bro is more greedy than spotify itself😂,2025-08-14T19:21:28Z,2486
UgxZD7Yp_ld9AUub6VB4AaABAg,lnErNM7rjqg,@hareeshkrishnaa5642,"YouTube should bring an individual ₹49 plan with Music alone. 
It will be the best of both world.",2025-08-05T10:59:17Z,1937
UgwhCj1WkXDVzyWxcTt4AaABAg,lnErNM7rjqg,@Kagarî-002-n,Now in free version of Spotify you can't play song you want to play,2026-03-05T16:31:45Z,202
UgziNW6jQzNWdwL-5dp4AaABAg,lnErNM7rjqg,@Just_Bhavartha,Youtube + brave browser >>>> any music app ever created,2025-08-05T14:35:03Z,3953
Ugzefv56jJCY18lsbup4AaABAg,lnErNM7rjqg,@hareshr9356,I miss Resso music app 🤞🏻,2025-08-08T16:10:20Z,1078
UgzSV85Lm4jbZnY_vll4AaABAg,lnErNM7rjqg,@suvrojyotibera2662,Thanks for the video without the name of the app😂,2026-02-04T16:16:48Z,346
Ugy42rA5SIQWvDgkUWp4AaABAg,lnErNM7rjqg,@l-....-l,I liked the part where he mentioned the name of that free music alternative app to Spotify,2025-08-15T18:22:44Z,546
UgxOyR5vjTRBSeydOrR4AaABAg,lnErNM7rjqg,@navjeevan107,"reason i didn't buy iphone 
and purchased S24 ultra 

i have my own music playlist in mp3 format  around 1300 songs 

no Spotify 😂😂😂😂

old is gold",2025-08-07T17:04:18Z,475
Ugxmjv4JSg_f4Rql8yR4AaABAg,lnErNM7rjqg,@herewegoooooi,Spotify has become the worst cause in the free one you cant even a play songs you want,2026-03-27T02:14:22Z,20
